epoch,loss,lr,val_loss
0,1.580693006515503,1e-04,1.3003274202346802
1,0.7366017699241638,1e-04,0.736450731754303
2,0.5282753705978394,1e-04,0.5247313380241394
3,0.4098972678184509,1e-04,0.41433459520339966
4,0.33190298080444336,1e-04,0.33865004777908325
5,0.2772836685180664,1e-04,0.34303906559944153
6,0.23922602832317352,1e-04,0.26059621572494507
7,0.208686962723732,1e-04,0.24518349766731262
8,0.18405582010746002,1e-04,0.21794666349887848
9,0.1605033278465271,1e-04,0.1870471090078354
10,0.1404751092195511,1e-04,0.23887516558170319
11,0.12141022086143494,1e-04,0.1738833338022232
12,0.10453122109174728,1e-04,0.14872777462005615
13,0.09420967102050781,1e-04,0.1721254140138626
14,0.08488742262125015,1e-04,0.1639280468225479
15,0.07792119681835175,1e-04,0.11698773503303528
16,0.07364626228809357,1e-04,0.19761893153190613
17,0.0682501420378685,1e-04,0.13652366399765015
18,0.06358687579631805,1e-04,0.1415746510028839
19,0.060733530670404434,1e-04,0.11630979180335999
20,0.05794040113687515,1e-04,0.10520563274621964
21,0.054381176829338074,1e-04,0.09535568952560425
22,0.051977455615997314,1e-04,0.09397020190954208
23,0.05050066486001015,1e-04,0.11756283789873123
24,0.04891485720872879,1e-04,0.10276368260383606
25,0.047818705439567566,1e-04,0.09019128233194351
26,0.04651785269379616,1e-04,0.09433193504810333
27,0.04417973756790161,1e-04,0.09798058867454529
28,0.043250054121017456,1e-04,0.0768006294965744
29,0.04204874858260155,1e-04,0.07130289822816849
30,0.040897075086832047,1e-04,0.06865838170051575
31,0.039744582027196884,1e-04,0.07181400805711746
32,0.03907841444015503,1e-04,0.07813911139965057
33,0.038322217762470245,1e-04,0.0713423565030098
34,0.03822282329201698,1e-04,0.06877033412456512
35,0.037090934813022614,1e-04,0.07992006093263626
36,0.03184454143047333,1e-05,0.05348413437604904
37,0.029564423486590385,1e-05,0.05330706760287285
38,0.028732651844620705,1e-05,0.051504142582416534
39,0.02824782207608223,1e-05,0.050716791301965714
40,0.027804499492049217,1e-05,0.050878867506980896
41,0.02755458652973175,1e-05,0.05002487450838089
42,0.02725883014500141,1e-05,0.05050046741962433
43,0.02698204107582569,1e-05,0.05063602328300476
44,0.026798587292432785,1e-05,0.05068616196513176
45,0.02654227800667286,1e-05,0.05090716481208801
46,0.02635669894516468,1e-05,0.05042603611946106
47,0.02590787783265114,1e-06,0.04988051578402519
48,0.025922255590558052,1e-06,0.05018851161003113
49,0.025870878249406815,1e-06,0.050289496779441833
50,0.025889871641993523,1e-06,0.0501236654818058
51,0.025881467387080193,1e-06,0.049930375069379807
52,0.025838682428002357,1e-06,0.050411395728588104
53,0.02582768350839615,1e-07,0.0505397766828537
54,0.025780534371733665,1e-07,0.050454992800951004
55,0.02580370381474495,1e-07,0.050401221960783005
56,0.025738727301359177,1e-07,0.05029885470867157
57,0.0257492084056139,1e-07,0.05043869465589523
58,0.025823000818490982,1e-07,0.050459135323762894
59,0.025808347389101982,1e-07,0.050408001989126205
60,0.02588612586259842,1e-07,0.05032338201999664
61,0.025778312236070633,1e-07,0.05051647499203682
62,0.02572730742394924,1e-07,0.050583019852638245
63,0.02588750794529915,1e-07,0.05051473528146744
64,0.025752592831850052,1e-07,0.05051954835653305
65,0.02576993964612484,1e-07,0.05047432333230972
66,0.025751164183020592,1e-07,0.050233423709869385
67,0.025735143572092056,1e-07,0.050471000373363495
